city,population,median_income,elderly_percentage,internet_usage,police_per_capita,prior_scam_reports,financial_institutions,tech_literacy_score,scam_rate,phone_scam_rate,email_scam_rate,text_scam_rate,in_person_scam_rate,social_media_scam_rate
Elizabeth,126958,104925,17.0014433987197,61.09596523594455,1.7897630363511394,652,4,75.33615026041694,12.156656432710836,13.23135058318461,16.02236071215708,10.372931303869866,7.3841701229037335,12.36655675506095
Plainfield,20795,45311,22.899106101044808,89.47996711082494,1.5869763494360762,778,13,84.85842360750871,36.638883924085974,26.527309258107298,32.62974470733751,39.4194929167558,32.88298680076633,35.952524838596894
Union Township,5860,143355,20.204613078816696,75.74139466794179,1.028159645430169,14,4,82.14688307596458,10.137145804085568,5.421861761749256,17.05722439874896,15.356448858678858,4.485005538482917,9.51648385967727
Westfield,108694,125305,16.757488779543145,73.8302582600635,1.3976848081776103,227,14,57.46280235544143,10.0,17.019793693296467,17.02602652939094,12.63224080667348,13.849886799653968,13.701704089738692
Linden,124879,199765,10.198974417397999,92.43306030278279,2.4226839054973,512,5,85.70235993959912,10.489201371398813,10.396447348840612,17.45083013885833,17.30863399348434,16.831148983418323,8.226890209675467
Rahway,115268,170608,24.133026335272792,85.45451985497473,2.5803510810624113,776,7,71.57368967662603,12.547813352511042,4.180290242559927,8.144609259862197,25.243626933857705,14.670244572793296,16.43306232702908
Summit,81820,196730,18.44932326768309,71.42892690820423,2.2119199495620228,407,7,82.2976062065625,11.257190584250512,5.894531412072224,11.641665327173369,9.634735795106046,15.959868509060561,16.485046425982098
Cranford,59886,124478,15.781247538098741,79.96553910418898,2.852601757026698,880,13,85.84365199693973,18.234414315853847,13.271483418837896,15.767251904837213,17.205080730376324,13.896208865956975,16.52370575282694
Hillside,11265,162537,10.239493783303214,78.22919910090383,2.302154051003889,804,11,62.72013899887455,57.96689410257424,58.47863251532257,62.582707144284,50.76668686415525,58.696203364715785,53.33666100651685
Roselle,87386,189503,13.463407384332235,93.64102085222723,2.8299193510875615,402,13,54.40207698110707,10.868070864547766,8.7050244618077,19.401095632940077,16.821707145115965,4.018715580966283,8.303244276369657
Berkeley Heights,42194,170523,13.615381990390176,89.5586847037353,2.7000771555795984,216,4,59.117406501677664,11.344603035796563,8.048691523614174,15.71255011397346,17.841587107119,7.48569928833027,14.895149237616332
Clark,92498,42747,20.248952782381874,86.15620385480833,1.8989013482764068,24,13,67.08431154505026,10.694396167179038,10.714082689336053,10.740117895879726,6.358665386931271,15.087763908133518,11.156790524934523
Roselle Park,117727,163855,19.149949866739313,78.8892246336178,1.1908202329808226,867,7,82.72059063689971,13.438678869793003,15.82744936696064,11.61098238563029,16.52688309734873,12.240706328823956,16.589053562798043
New Providence,49131,105725,22.497923676042465,80.53629079823469,1.7416365043965327,563,11,84.42922333025373,16.606341569401135,15.311198345706682,19.851775232546665,22.691695554301685,22.653251422834305,25.421028930917274
Scotch Plains,65263,169981,12.600469802616582,93.78393575424482,2.3376825053272148,901,3,50.27808522124763,17.59212982901931,14.718583790952312,11.477762145642776,18.723571176513683,20.28192984747929,18.746898443744975
Fanwood,21023,124654,15.865909113598612,81.24619866903396,2.331844713234993,470,6,70.42989210310263,23.84526159581287,21.737770494113455,26.526941757723197,28.082268758696067,37.51737239112158,19.800577138861065
Garwood,46090,159346,12.733541316820935,69.65997137078902,2.182595575415454,700,12,66.69644012595116,18.61448931010215,20.31359413103537,14.041034653795764,19.488654370059507,19.083316460861884,23.901606854414034
Kenilworth,72221,107435,21.330421154764785,70.36957269964289,1.5494435859801283,584,2,58.88431241882921,14.367846020163453,14.330945270440589,17.47058709997213,8.283571558367258,7.335819684255709,14.62465031756163
Mountainside,69820,96886,16.37733811736867,65.78434286720508,2.1224868516954025,873,10,54.79461469334731,17.387536745657208,21.224020939189227,16.58284986134189,22.634273707261535,17.214888465183165,21.749772533959472
Springfield,5769,106803,13.119124943022832,60.547274235941785,1.7658537495075797,752,13,63.50460685614512,100.0,94.25103711252821,98.05867800511693,100.0,95.18492186966937,100.0
Winfield,64735,71551,18.51550491729987,74.81905182472293,2.9434241907782077,250,14,87.71638815650077,11.449389720020214,7.572709190235494,7.021827850875971,15.121895044420443,16.33528972408558,6.65434923788632
